Date,Open,High,Low,Close,Volume
2026-01-01,1472.800048828125,1490.9000244140625,1470.4000244140625,1481.0999755859375,981252
2026-01-02,1480.0999755859375,1495.0,1478.300048828125,1489.5,1251176
2026-01-05,1488.0,1496.800048828125,1479.0999755859375,1493.0,790039
2026-01-06,1490.0,1493.0,1470.699951171875,1473.199951171875,1675609
2026-01-07,1473.199951171875,1480.4000244140625,1459.0,1465.300048828125,2124534
2026-01-08,1468.0,1489.0,1460.300048828125,1465.199951171875,1974347
2026-01-09,1463.0,1463.0,1431.0,1435.9000244140625,2280396
2026-01-12,1435.9000244140625,1447.0999755859375,1403.9000244140625,1443.5,1539180
2026-01-13,1443.5,1449.0,1420.0,1428.5999755859375,919873
2026-01-14,1429.0,1438.9000244140625,1423.0,1430.0,1278819
2026-01-15,1430.0,1430.0,1430.0,1430.0,0
2026-01-16,1430.0,1448.0,1416.0999755859375,1421.9000244140625,1556318
2026-01-19,1421.0,1421.0,1395.5999755859375,1403.0,1130162
2026-01-20,1409.0,1412.9000244140625,1359.5999755859375,1367.5999755859375,1799611
2026-01-21,1371.699951171875,1390.4000244140625,1345.0,1378.5999755859375,2141532
2026-01-22,1400.0,1421.699951171875,1388.5,1414.199951171875,1689638
2026-01-23,1417.0,1417.0,1292.0,1308.4000244140625,6380222
2026-01-27,1334.300048828125,1368.300048828125,1322.0,1363.9000244140625,3838632
2026-01-28,1373.9000244140625,1384.300048828125,1363.699951171875,1381.9000244140625,2938285
2026-01-29,1384.9000244140625,1429.0,1371.5999755859375,1417.800048828125,3918681
2026-01-30,1417.800048828125,1428.5,1407.0,1419.800048828125,2227414
2026-02-02,1348.0,1406.0,1348.0,1403.0999755859375,2796673
2026-02-03,1477.199951171875,1537.0,1477.199951171875,1530.800048828125,11977119
2026-02-04,1529.9000244140625,1572.300048828125,1508.5,1567.9000244140625,6632728
2026-02-05,1568.0,1577.699951171875,1548.5999755859375,1570.199951171875,3285127
2026-02-06,1563.0,1575.5,1527.0,1550.699951171875,4429173
2026-02-09,1575.9000244140625,1583.9000244140625,1554.5,1561.699951171875,1761025
2026-02-10,1565.0,1568.0,1525.0,1554.699951171875,1643366
2026-02-11,1554.699951171875,1559.4000244140625,1539.199951171875,1553.4000244140625,1359416
2026-02-12,1542.0999755859375,1551.0,1532.5,1543.699951171875,1107584
2026-02-13,1543.0,1543.0,1507.0,1519.0,1838361
2026-02-16,1517.5,1545.5,1495.300048828125,1540.0999755859375,1644108
2026-02-17,1545.0,1576.5,1535.699951171875,1566.300048828125,3168457
2026-02-18,1565.0,1565.0,1540.0,1550.800048828125,1326139
2026-02-19,1550.0,1550.800048828125,1506.699951171875,1513.300048828125,984392
2026-02-20,1513.300048828125,1529.199951171875,1505.199951171875,1511.5,1126987
2026-02-23,1511.0,1564.5,1510.800048828125,1555.800048828125,3113728
2026-02-24,1553.699951171875,1564.0,1536.4000244140625,1555.4000244140625,1360612
2026-02-25,1567.0,1584.0,1518.5,1528.699951171875,2153982
2026-02-26,1537.5999755859375,1554.5999755859375,1526.0,1550.5999755859375,1353287
2026-02-27,1545.0,1545.0999755859375,1516.199951171875,1521.0,1596106
2026-03-02,1462.0,1497.300048828125,1430.0,1470.300048828125,4207514
2026-03-04,1435.0,1450.5,1409.0,1434.4000244140625,3386838
2026-03-05,1447.199951171875,1505.5,1447.199951171875,1499.300048828125,3236481
2026-03-06,1489.0,1497.800048828125,1470.0,1477.5,2576061
2026-03-09,1405.0,1436.0999755859375,1405.0,1421.300048828125,4874245
2026-03-10,1450.0,1470.300048828125,1416.5,1424.0999755859375,2706284
2026-03-11,1425.0,1454.9000244140625,1405.699951171875,1410.800048828125,2212011
2026-03-12,1402.5,1418.5999755859375,1375.300048828125,1391.5,2699173
2026-03-13,1388.699951171875,1390.0,1354.0,1363.199951171875,2688551
