Date,Open,High,Low,Close,Volume,Simple_Return,Log_Return,Cumulative_Return,Volatility_20,MA_20,Rolling_Sharpe_20,Drawdown
2026-01-01,1573.699951171875,1592.5,1571.0999755859375,1575.5999755859375,6408128,,,,,,,0.0
2026-01-02,1580.0,1594.5999755859375,1578.199951171875,1592.300048828125,6602230,0.01059918348626332,0.010543405925872487,0.01059918348626332,,,,0.0
2026-01-05,1593.0,1611.800048828125,1575.300048828125,1578.0999755859375,8704973,-0.008917963202122792,-0.00895796624398934,0.0015866971558375909,,,,-0.008917963202122764
2026-01-06,1569.0,1569.0,1496.300048828125,1507.5999755859375,27417125,-0.04467397572439846,-0.045702610084556644,-0.04315816263878269,,,,-0.05319353805491853
2026-01-07,1510.0,1520.0,1498.0,1504.199951171875,11199340,-0.002255256347255541,-0.0022578032678779313,-0.045316086265811184,,,,-0.05532882933784274
2026-01-08,1500.0,1503.9000244140625,1468.800048828125,1470.5999755859375,16518684,-0.02233743962015211,-0.022590698770418128,-0.06664128054517915,,,,-0.07643036457340709
2026-01-09,1465.0,1479.9000244140625,1465.0,1475.300048828125,8335311,0.003196024289552124,0.0031909278599105205,-0.06365824340693627,,,,-0.07347861358549085
2026-01-12,1475.300048828125,1485.300048828125,1451.0,1483.199951171875,8883745,0.005354776711371523,0.0053404908701913485,-0.05864434237484706,,,,-0.06851729844293085
2026-01-13,1485.0,1485.800048828125,1444.699951171875,1452.800048828125,13499760,-0.020496159212876952,-0.02070912043409814,-0.0779385178094747,,,,-0.08760911619808524
2026-01-14,1444.0,1467.0,1440.199951171875,1458.800048828125,8321764,0.004129955808330088,0.004121450949260742,-0.07413044463546448,,,,-0.08384098216806006
2026-01-15,1458.800048828125,1458.800048828125,1458.800048828125,1458.800048828125,0,0.0,0.0,-0.07413044463546448,,,,-0.08384098216806006
2026-01-16,1458.800048828125,1480.0,1455.0999755859375,1457.9000244140625,17167161,-0.0006169621496692201,-0.0006171525491331518,-0.07470167110665549,,,,-0.08440621760514046
2026-01-19,1450.5999755859375,1450.5999755859375,1403.300048828125,1413.5999755859375,20392765,-0.030386204874322198,-0.0308574361221792,-0.10281797569827666,,,,-0.11222763785864621
2026-01-20,1410.699951171875,1416.0,1390.0,1394.0,13189498,-0.01386529140099435,-0.01396231241417514,-0.11525766590495401,,,,-0.12453686035748515
2026-01-21,1389.5,1412.9000244140625,1373.0,1404.5999755859375,17352720,0.0076039997029679895,0.00757523502294524,-0.1085300854592921,,,,-0.11787983890368398
2026-01-22,1410.0999755859375,1419.5,1395.0,1402.5,15721693,-0.0014950702138959437,-0.0014961889465631433,-0.10986289557510631,,,,-0.11919867048161617
2026-01-23,1401.800048828125,1407.0,1381.0,1386.0999755859375,9837802,-0.011693422042112323,-0.011762327791037107,-0.12027164441249039,,,,-0.12949825216292826
2026-01-27,1380.0,1391.5999755859375,1368.0,1380.5,26302396,-0.0040400950036596495,-0.004048278235605183,-0.12382583054647722,,,,-0.13301516192504179
2026-01-28,1385.0,1409.9000244140625,1384.9000244140625,1396.699951171875,11121657,0.011734843297265485,0.011666523981878917,-0.11354406396682837,,,,-0.12284123070912707
2026-01-29,1402.9000244140625,1402.9000244140625,1384.0,1391.0,20846683,-0.004081013368041231,-0.004089363428645095,-0.11716170249195923,,1459.2099975585938,,-0.12642092737249774
2026-01-30,1382.5999755859375,1398.0,1378.5,1395.4000244140625,11239835,0.0031632094996854043,0.0031582170777963215,-0.1143691000025957,0.014630973885663354,1450.2,-0.41506125138885785,-0.123657613751236
2026-02-02,1340.0,1392.9000244140625,1335.5,1390.4000244140625,15711165,-0.003583201886569798,-0.003589636931091089,-0.11754249431427088,0.01411852944188879,1440.104998779297,-0.4801776630330386,-0.12679772544292364
2026-02-03,1473.9000244140625,1489.5,1430.199951171875,1437.0999755859375,25456171,0.0335874211391467,0.03303568402162994,-0.08790302243340331,0.0166696166055684,1433.054998779297,-0.28073350877338776,-0.09746911290771429
2026-02-04,1444.0,1464.0,1440.300048828125,1456.800048828125,8333387,0.013708213469390218,0.013615105839003447,-0.07539980236013477,0.014059160346704066,1430.5150024414063,-0.12190160159970875,-0.08509702684473512
2026-02-05,1457.0,1461.5,1439.5,1443.4000244140625,11763658,-0.00919825917416861,-0.00924082437833538,-0.08390451461051374,0.014159730434450723,1427.4750061035156,-0.14569382012484905,-0.09351254151103462
2026-02-06,1441.5,1452.800048828125,1433.5,1450.800048828125,8277304,0.00512680080982153,0.005113703512300521,-0.0792078755341451,0.013379486450200654,1426.485009765625,-0.050657034357781155,-0.08886516087476029
2026-02-09,1458.0,1465.9000244140625,1453.0,1461.5999755859375,5775864,0.007444117999951816,0.007416547295394652,-0.07235339030619492,0.013476804265003276,1425.8000061035157,-0.03461385383732602,-0.08208256561844485
2026-02-10,1471.0,1471.0,1452.199951171875,1458.5,10259630,-0.00212094665963225,-0.0021231990523655196,-0.07432087928434417,0.013410716890881299,1424.565008544922,-0.06261176311326479,-0.08402941953471456
2026-02-11,1459.5999755859375,1470.0,1453.5999755859375,1468.699951171875,7106877,0.006993452980373682,0.006969112206227463,-0.06784718587870553,0.012659460656220006,1425.3600036621094,0.04299101025271223,-0.07762362234882501
2026-02-12,1470.0,1473.0,1445.5,1448.9000244140625,11135399,-0.013481260581519106,-0.013572957837259779,-0.08041378086767104,0.013009756006803657,1424.8650024414062,-0.026170931744039366,-0.09005841865017822
2026-02-13,1445.5,1450.699951171875,1416.300048828125,1419.5999755859375,10755693,-0.02022227091891593,-0.02042954010224876,-0.09900990252426656,0.013761899127358966,1422.9049987792969,-0.0989655881771075,-0.10845950382862105
2026-02-16,1420.0999755859375,1439.5999755859375,1409.300048828125,1437.0999755859375,5896514,0.012327416385575107,0.012252052517283226,-0.08790302243340331,0.01409537646834891,1421.8649963378907,-0.05097374943235171,-0.09746911290771429
2026-02-17,1431.0999755859375,1431.800048828125,1418.5999755859375,1423.0,10731630,-0.009811408966302837,-0.009859858001925782,-0.09685197889723796,0.012414077143216153,1422.3349975585938,0.026694269250733385,-0.10632421254569682
2026-02-18,1427.0,1442.0999755859375,1419.199951171875,1441.300048828125,5521096,0.012860188916461679,0.012778198877040087,-0.08523732472632795,0.012232264439086527,1424.7,0.13639422942737991,-0.09483137308896682
2026-02-19,1443.0,1443.0,1400.0,1409.5,11884664,-0.02206344810296834,-0.02231048641272529,-0.10542014353876106,0.013255339864919209,1424.945001220703,0.01313615586714972,-0.11480251411325347
2026-02-20,1409.5,1427.4000244140625,1406.0999755859375,1419.4000244140625,8177670,0.007023784614446527,0.006999232736984548,-0.09913680730655483,0.013334877527177685,1425.7900024414062,0.044911945647374996,-0.10858507763113531
2026-02-23,1425.0,1434.9000244140625,1418.300048828125,1428.0,7758856,0.006058880821484758,0.006040599608377725,-0.093678584585563,0.013057615872283126,1427.8850036621093,0.11403625893502325,-0.10318410085400918
2026-02-24,1425.300048828125,1433.300048828125,1415.0,1428.800048828125,12529409,0.0005602582830006586,0.0005601013969239041,-0.09317081050551612,0.012995271353143763,1430.3000061035157,0.132314331850888,-0.10268165231818592
2026-02-25,1435.0,1440.5,1393.5,1398.5,10728792,-0.0212066403923884,-0.021434731654439248,-0.11240161102444668,0.013747827329126931,1430.3900085449218,0.004684221219440065,-0.12171075983496628
2026-02-26,1398.5,1412.9000244140625,1391.9000244140625,1406.800048828125,16683858,0.0059349651970861395,0.005917422666459632,-0.10713374547688703,0.0137707732978841,1431.1800109863282,0.04100983706835864,-0.11649814376161155
2026-02-27,1398.0,1410.4000244140625,1388.0999755859375,1393.9000244140625,12031440,-0.009169763979471224,-0.009212065057702395,-0.11532111829609848,0.013925097140275353,1431.1050109863281,-0.0038618716251441324,-0.12459964725874229
2026-03-02,1375.5,1378.5999755859375,1341.5,1358.0,23728722,-0.02575509275075405,-0.02609256213213025,-0.13810610494901587,0.015086514060302817,1429.485009765625,-0.07814417517943835,-0.1471456645376362
2026-03-04,1330.0,1352.800048828125,1307.0,1345.0,32495007,-0.009572901325478611,-0.009619016082701921,-0.14635693015937135,0.01284334739125796,1424.8800109863282,-0.25785008393108577,-0.15530995493602406
2026-03-05,1353.0999755859375,1399.0,1353.0999755859375,1389.4000244140625,25957532,0.03301117056807623,0.032478003794499555,-0.11817717317660614,0.014708883801488102,1421.510009765625,-0.16102603956783776,-0.12742574778126117
2026-03-06,1396.5,1424.300048828125,1390.300048828125,1404.800048828125,19311971,0.011083938493924306,0.01102296180847417,-0.10840310320155722,0.014907161623516945,1419.580010986328,-0.09091764280187101,-0.11775418843828661
2026-03-09,1375.0,1429.4000244140625,1370.0,1424.0,24870822,0.013667390734995788,0.013574834333007924,-0.09621730003490314,0.01521724724363745,1418.240008544922,-0.061263869852091514,-0.1056961902073593
2026-03-10,1430.5999755859375,1431.5,1400.5999755859375,1408.800048828125,18071259,-0.010674123013957204,-0.010731500130552109,-0.10586438775221696,0.01523427978682726,1415.6000122070313,-0.1207585689432698,-0.11524209908493649
2026-03-11,1424.9000244140625,1434.0,1383.5999755859375,1390.199951171875,21848087,-0.013202794585166266,-0.01329072629807786,-0.11766947657200633,0.015448374048508583,1412.185009765625,-0.15522968182245497,-0.126923375908321
2026-03-12,1390.0,1410.9000244140625,1381.0999755859375,1392.199951171875,20939959,0.0014386419725551658,0.0014376081186375424,-0.11640011884733625,0.015320834910620869,1408.360009765625,-0.17457412785967855,-0.12566733123164595
2026-03-13,1385.199951171875,1400.800048828125,1378.4000244140625,1380.699951171875,17263343,-0.008260307716804527,-0.008294613104583173,-0.12369892576418917,0.015167918339354899,1404.9500061035155,-0.15893441024897112,-0.13288958812252752
