Date,Open,High,Low,Close,Volume,Simple_Return,Log_Return,Cumulative_Return,Volatility_20,MA_20,Rolling_Sharpe_20,Drawdown
2026-01-01,3157.59834501185,3176.3574233163417,3141.0982497161094,3169.77685546875,1255735,,,,,,,0.0
2026-01-02,3176.259103902428,3196.196709004467,3162.017991655493,3192.660888671875,1184324,0.007219446114524963,0.00719351066500126,0.007219446114524963,,,,0.0
2026-01-05,3182.642968809425,3189.026915514335,3134.026759287417,3158.6787109375,2341703,-0.010643841898445805,-0.010700892771737712,-0.003501238426958153,,,,-0.01064384189844583
2026-01-06,3152.687602211108,3204.9377039238207,3147.7768738587542,3197.669921875,2912325,0.012344152256602126,0.012268584453906037,0.008799694009414827,,,,0.0
2026-01-07,3185.000010126568,3241.6700055592964,3165.651788913644,3236.75927734375,1989442,0.012224324718865809,0.012150211043237063,0.021131589045278343,,,,0.0
2026-01-08,3228.2143763788763,3228.2143763788763,3125.1873956712,3146.6962890625,4159336,-0.0278250498613416,-0.02821950086334161,-0.007281448334897522,,,,-0.02782504986134165
2026-01-09,3134.0267606372377,3172.0357492326657,3134.0267606372377,3150.52685546875,1938673,0.0012173295591202393,0.0012165892142606952,-0.006072982698068552,,,,-0.026641592557901536
2026-01-12,3145.8126491306843,3193.937788002805,3117.625115747632,3181.75927734375,2228342,0.009913396491379345,0.009864581128626275,0.0037802099079395912,,,,-0.016992304736710543
2026-01-13,3187.0627488471305,3221.437847833155,3153.1787227037635,3209.652099609375,5645341,0.008766477861553046,0.008728275399515574,0.012579826895962709,,,,-0.008374789538448635
2026-01-14,3201.7948316366483,3201.7948316366483,3126.169616288176,3135.5,3539511,-0.02310284644818661,-0.02337390008343422,-0.0108136493613461,,,,-0.03128415450989254
2026-01-15,3135.5,3135.5,3135.5,3135.5,0,0.0,0.0,-0.0108136493613461,,,,-0.03128415450989254
2026-01-16,3219.39990234375,3221.89990234375,3171.0,3206.699951171875,4293470,0.022707686548198103,0.022453704738026437,0.011648484226712386,,,,-0.009286858736230523
2026-01-19,3188.0,3220.0,3152.10009765625,3163.60009765625,3387562,-0.013440563249416115,-0.013531705207130566,-0.0019486412117126761,,,,-0.022602601373413893
2026-01-20,3151.60009765625,3160.0,3091.10009765625,3102.300048828125,4499273,-0.019376674338055233,-0.019566862915601908,-0.02128755736360688,,,,-0.04154131246546364
2026-01-21,3100.0,3138.5,3082.0,3122.60009765625,2015150,0.006543547854371168,0.006522231783068366,-0.014883305659547097,,,,-0.03526959217714357
2026-01-22,3150.0,3160.0,3122.300048828125,3150.39990234375,2269827,0.008902774552644654,0.008863378505374815,-0.006113033821787517,,,,-0.026680814852215674
2026-01-23,3190.300048828125,3194.5,3152.0,3162.5,2068857,0.00384081324001051,0.003833456148962831,-0.0022956996030163435,,,,-0.02294247763914373
2026-01-27,3175.0,3175.0,3130.0,3158.0,4279874,-0.0014229249011857847,-0.0014239382201882886,-0.0037153578960713585,,,,-0.024332757117601866
2026-01-28,3176.0,3205.199951171875,3170.60009765625,3200.10009765625,2751234,0.013331253216038563,0.013243174000583384,0.009566364943066397,,,,-0.01132589004814235
2026-01-29,3200.10009765625,3200.10009765625,3125.60009765625,3144.39990234375,2457641,-0.01740576657376902,-0.01755902795376688,-0.008005911545861166,,3166.289013671875,,-0.028534520823493188
2026-01-30,3141.0,3141.0,3092.0,3123.89990234375,3022068,-0.00651952698024183,-0.0065408719194483675,-0.014473243769778321,0.013965880469795215,3163.995166015625,-0.05219507243248158,-0.034868016225358026
2026-02-02,3198.0,3198.0,3134.0,3169.60009765625,2636272,0.014629212439941641,0.014523237811606046,-5.576348763980388e-05,0.014277417088714715,3162.8421264648437,-0.025387209963950948,-0.02074889540213638
2026-02-03,3350.0,3350.0,3186.300048828125,3225.300048828125,4366060,0.01757317940930858,0.017420556543825867,0.01751643597989605,0.014587052727675288,3166.173193359375,0.07154349133352281,-0.0035403400542746042
2026-02-04,3120.0,3120.0,2986.0,2999.10009765625,10852595,-0.07013299468186285,-0.07271370809529142,-0.05384503881339009,0.021759332217898112,3156.2447021484377,-0.14731637510544143,-0.07342504008593906
2026-02-05,2990.0,3029.699951171875,2972.300048828125,2991.5,3521545,-0.002534126040737772,-0.0025373423730095544,-0.05624271473910636,0.02145958799307283,3143.98173828125,-0.18359549210077675,-0.07577309782055287
2026-02-06,2976.60009765625,2985.0,2916.0,2941.60009765625,4687389,-0.01668056237464488,-0.016821249644680406,-0.07198511700242627,0.020925555001636925,3133.7269287109375,-0.16104571929735897,-0.09118972231068191
2026-02-09,2959.10009765625,2977.0,2937.5,2948.199951171875,2380318,0.0022436270385235435,0.0022411138657591327,-0.06990299771878061,0.020938623901341057,3123.6105834960936,-0.1584987074603116,-0.08915069099877009
2026-02-10,2949.800048828125,3011.60009765625,2943.5,2984.60009765625,3547763,0.012346566409074944,0.012270969166248088,-0.05841949331323404,0.0210251015526821,3113.7526245117188,-0.15212413668798863,-0.07790482951652639
2026-02-11,2980.0,2998.0,2904.199951171875,2909.800048828125,3363513,-0.02506200039558537,-0.025381400155547466,-0.08201738434429329,0.021387044391035465,3098.7600219726564,-0.22929345030432136,-0.10101437904395054
2026-02-12,2869.800048828125,2880.0,2740.0,2750.10009765625,10612156,-0.054883479446016126,-0.05644705691595457,-0.13239946436243344,0.024008300665410324,3079.490026855469,-0.27313749245509744,-0.1503538378939559
2026-02-13,2585.0,2713.0,2585.0,2692.199951171875,11168735,-0.021053832380035886,-0.021278625072805042,-0.15066578061257607,0.0241733219477117,3057.3250244140627,-0.3152855164873169,-0.16824214577327734
2026-02-16,2700.0,2719.800048828125,2671.0,2706.60009765625,2918730,0.0053488398876564425,0.005334585650082242,-0.14612282786196507,0.02334109708280148,3032.320031738281,-0.36319862000583364,-0.16379320618571785
2026-02-17,2716.0,2760.0,2695.199951171875,2717.39990234375,4209118,0.003990173759637505,0.003982234129649039,-0.14271570957574642,0.023469679124315787,3010.0100219726564,-0.3238969413595815,-0.1604565957794096
2026-02-18,2730.0,2730.0,2657.300048828125,2694.89990234375,2950820,-0.008279973801645357,-0.008314443186997481,-0.14981400104102138,0.023302026393338254,2989.6400146484375,-0.3020825819096523,-0.16740799317170027
2026-02-19,2708.0,2748.699951171875,2666.60009765625,2677.89990234375,3238849,-0.006308212036081562,-0.006328192878878238,-0.15517715459256243,0.023084561156905707,2967.4050048828126,-0.33276168767132314,-0.1726601600903199
2026-02-20,2667.0,2702.60009765625,2647.5,2686.199951171875,2293482,0.0030994619406277124,0.0030946685106155543,-0.15255865833664928,0.02290227453322196,2944.1950073242188,-0.34800443152056304,-0.17009585174455485
2026-02-23,2686.0,2704.0,2660.199951171875,2676.300048828125,4699596,-0.0036854673977010366,-0.0036922754650918423,-0.15568187577281356,0.022759513355259508,2919.885009765625,-0.36672047771336647,-0.17315443642616712
2026-02-24,2641.0,2647.5,2561.300048828125,2573.699951171875,7798833,-0.038336545149777024,-0.03909072855741303,-0.1880501156630241,0.023695734634910214,2890.6700073242187,-0.43171141492927634,-0.20485283870600823
