Date,Open,High,Low,Close,Volume,Simple_Return,Log_Return,Cumulative_Return,Volatility_20,MA_20,Rolling_Sharpe_20,Drawdown
2026-01-01,1615.4000244140625,1639.5999755859375,1614.0999755859375,1629.800048828125,3658165,,,,,,,0.0
2026-01-02,1635.9000244140625,1643.5,1627.5,1640.4000244140625,2524526,0.006503850330326744,0.006482791555197559,0.006503850330326744,,,,0.0
2026-01-05,1637.0,1637.0,1583.0999755859375,1606.4000244140625,5917885,-0.02072665172761412,-0.02094446370549052,-0.014357604437972626,,,,-0.020726651727614138
2026-01-06,1600.0999755859375,1619.9000244140625,1599.0,1612.199951171875,4466729,0.0036105121200604717,0.003604009867450534,-0.010798930622750502,,,,-0.01719097343482443
2026-01-07,1615.0,1642.0,1615.0,1639.0,4508079,0.016623278526118668,0.016486624180972076,0.005644834271842036,,,,-0.0008534652482479555
2026-01-08,1638.9000244140625,1644.300048828125,1608.5999755859375,1613.300048828125,3942131,-0.015680263070088518,-0.015804498805739867,-0.010123941284616023,,,,-0.01652034575872272
2026-01-09,1610.0,1631.300048828125,1607.0,1614.0999755859375,6816681,0.0004958326000135127,0.0004957097156482662,-0.009633128464732077,,,,-0.0160327044846998
2026-01-12,1610.0999755859375,1613.300048828125,1592.5999755859375,1595.9000244140625,6985362,-0.011275603399515721,-0.011339654950607493,-0.020800112528182924,,,,-0.027127529467024385
2026-01-13,1618.0,1618.0,1586.4000244140625,1599.0,8080618,0.0019424622711410322,0.0019405781308234045,-0.018898053690863392,,,,-0.025237761398382234
2026-01-14,1588.0,1617.0,1583.0999755859375,1599.800048828125,7557157,0.0005003432320982437,0.0005002181021601624,-0.018407165972029182,,,,-0.024750045709393036
2026-01-15,1599.800048828125,1599.800048828125,1599.800048828125,1599.800048828125,0,0.0,0.0,-0.018407165972029182,,,,-0.024750045709393036
2026-01-16,1663.699951171875,1694.0,1653.4000244140625,1689.800048828125,19335957,0.05625703041197316,0.054731555678430945,0.036814331944057255,,,,0.0
