Date,Open,High,Low,Close,Volume
2026-01-01,1573.699951171875,1592.5,1571.0999755859375,1575.5999755859375,6408128
2026-01-02,1580.0,1594.5999755859375,1578.199951171875,1592.300048828125,6602230
2026-01-05,1593.0,1611.800048828125,1575.300048828125,1578.0999755859375,8704973
2026-01-06,1569.0,1569.0,1496.300048828125,1507.5999755859375,27417125
2026-01-07,1510.0,1520.0,1498.0,1504.199951171875,11199340
2026-01-08,1500.0,1503.9000244140625,1468.800048828125,1470.5999755859375,16518684
2026-01-09,1465.0,1479.9000244140625,1465.0,1475.300048828125,8335311
2026-01-12,1475.300048828125,1485.300048828125,1451.0,1483.199951171875,8883745
2026-01-13,1485.0,1485.800048828125,1444.699951171875,1452.800048828125,13499760
2026-01-14,1444.0,1467.0,1440.199951171875,1458.800048828125,8321764
2026-01-15,1458.800048828125,1458.800048828125,1458.800048828125,1458.800048828125,0
2026-01-16,1458.800048828125,1480.0,1455.0999755859375,1457.9000244140625,17167161
2026-01-19,1450.5999755859375,1450.5999755859375,1403.300048828125,1413.5999755859375,20392765
2026-01-20,1410.699951171875,1416.0,1390.0,1394.0,13189498
2026-01-21,1389.5,1412.9000244140625,1373.0,1404.5999755859375,17352720
2026-01-22,1410.0999755859375,1419.5,1395.0,1402.5,15721693
2026-01-23,1401.800048828125,1407.0,1381.0,1386.0999755859375,9837802
2026-01-27,1380.0,1391.5999755859375,1368.0,1380.5,26302396
2026-01-28,1385.0,1409.9000244140625,1384.9000244140625,1396.699951171875,11121657
2026-01-29,1402.9000244140625,1402.9000244140625,1384.0,1391.0,20846683
2026-01-30,1382.5999755859375,1398.0,1378.5,1395.4000244140625,11239835
2026-02-02,1340.0,1392.9000244140625,1335.5,1390.4000244140625,15711165
2026-02-03,1473.9000244140625,1489.5,1430.199951171875,1437.0999755859375,25456171
2026-02-04,1444.0,1464.0,1440.300048828125,1456.800048828125,8333387
2026-02-05,1457.0,1461.5,1439.5,1443.4000244140625,11763658
2026-02-06,1441.5,1452.800048828125,1433.5,1450.800048828125,8277304
2026-02-09,1458.0,1465.9000244140625,1453.0,1461.5999755859375,5775864
2026-02-10,1471.0,1471.0,1452.199951171875,1458.5,10259630
2026-02-11,1459.5999755859375,1470.0,1453.5999755859375,1468.699951171875,7106877
2026-02-12,1470.0,1473.0,1445.5,1448.9000244140625,11135399
2026-02-13,1445.5,1450.699951171875,1416.300048828125,1419.5999755859375,10755693
2026-02-16,1420.0999755859375,1439.5999755859375,1409.300048828125,1437.0999755859375,5896514
2026-02-17,1431.0999755859375,1431.800048828125,1418.5999755859375,1423.0,10731630
2026-02-18,1427.0,1442.0999755859375,1419.199951171875,1441.300048828125,5521096
2026-02-19,1443.0,1443.0,1400.0,1409.5,11884664
2026-02-20,1409.5,1427.4000244140625,1406.0999755859375,1419.4000244140625,8177670
2026-02-23,1425.0,1434.9000244140625,1418.300048828125,1428.0,7758856
2026-02-24,1425.300048828125,1433.300048828125,1415.0,1428.800048828125,12529409
2026-02-25,1435.0,1440.5,1393.5,1398.5,10728792
2026-02-26,1398.5,1412.9000244140625,1391.9000244140625,1406.800048828125,16683858
2026-02-27,1398.0,1410.4000244140625,1388.0999755859375,1393.9000244140625,12031440
2026-03-02,1375.5,1378.5999755859375,1341.5,1358.0,23728722
2026-03-04,1330.0,1352.800048828125,1307.0,1345.0,32495007
2026-03-05,1353.0999755859375,1399.0,1353.0999755859375,1389.4000244140625,25957532
2026-03-06,1396.5,1424.300048828125,1390.300048828125,1404.800048828125,19311971
2026-03-09,1375.0,1429.4000244140625,1370.0,1424.0,24870822
2026-03-10,1430.5999755859375,1431.5,1400.5999755859375,1408.800048828125,18064788
