Date,Open,High,Low,Close,Volume
2026-01-01,993.5,997.5499877929688,989.5,991.1500244140625,7132074
2026-01-02,991.1500244140625,1003.2000122070312,988.7999877929688,1001.5999755859375,11751459
2026-01-05,1005.75,1006.4000244140625,976.2999877929688,977.5,27647379
2026-01-06,962.7000122070312,966.7000122070312,956.0,962.2000122070312,31988783
2026-01-07,956.0,956.4500122070312,946.0,949.0499877929688,52884712
2026-01-08,944.7000122070312,953.0,941.4000244140625,946.7000122070312,21928849
2026-01-09,945.0,950.5999755859375,933.2999877929688,939.0,38183839
2026-01-12,937.5,942.0,929.5999755859375,936.9500122070312,21071666
2026-01-13,947.7000122070312,947.7000122070312,932.5999755859375,937.3499755859375,32042827
2026-01-14,930.0,940.0499877929688,920.2000122070312,925.4500122070312,36688248
2026-01-15,925.4500122070312,925.4500122070312,925.4500122070312,925.4500122070312,0
2026-01-16,922.0,935.9500122070312,919.2000122070312,931.0999755859375,37780235
2026-01-19,935.9000244140625,936.1500244140625,919.5,927.9000244140625,38191942
2026-01-20,929.2999877929688,934.5,919.5999755859375,931.2000122070312,36022727
2026-01-21,925.0,932.1500244140625,915.5,920.3499755859375,32766854
2026-01-22,928.0,928.2999877929688,913.2000122070312,918.7000122070312,44444755
2026-01-23,920.0,926.0999755859375,909.25,916.0999755859375,30985247
2026-01-27,906.0,931.2000122070312,905.0,926.4000244140625,44753093
2026-01-28,932.5,941.4500122070312,928.4000244140625,932.7000122070312,35347138
2026-01-29,930.0999755859375,939.2999877929688,924.3499755859375,935.5,37175628
2026-01-30,930.0,938.9000244140625,927.75,929.25,29691233
2026-02-02,915.0,929.7999877929688,909.2999877929688,928.0999755859375,28032106
2026-02-03,983.75,994.0,945.0,948.7000122070312,50336968
2026-02-04,952.5,957.2000122070312,947.9500122070312,953.0999755859375,24366770
2026-02-05,956.0,956.0499877929688,946.7000122070312,949.7000122070312,28103169
2026-02-06,945.0,948.0999755859375,937.5999755859375,941.0999755859375,18120272
2026-02-09,945.0,950.0,935.3499755859375,937.25,23947829
2026-02-10,930.0,940.9000244140625,929.9500122070312,932.4000244140625,31525385
2026-02-11,931.25,936.0,925.2999877929688,927.0999755859375,24869804
2026-02-12,927.0,928.5999755859375,918.5,920.5999755859375,33872203
2026-02-13,913.0,928.2000122070312,901.0,903.9000244140625,50188359
2026-02-16,903.9000244140625,929.5,902.0999755859375,925.7999877929688,18806989
2026-02-17,923.0,928.0999755859375,918.5999755859375,925.7000122070312,22599629
2026-02-18,923.2000122070312,925.5,919.5499877929688,924.7000122070312,12738702
2026-02-19,929.0,929.2000122070312,912.4500122070312,915.5999755859375,21209234
2026-02-20,911.0,917.8499755859375,908.4000244140625,911.8499755859375,22654907
2026-02-23,916.5,925.6500244140625,915.25,923.5999755859375,23270122
2026-02-24,927.9500122070312,927.9500122070312,909.1500244140625,910.5,31313985
2026-02-25,910.5499877929688,916.0,903.0999755859375,907.5999755859375,27884303
2026-02-26,912.0,912.0,895.0,898.5999755859375,41165937
2026-02-27,898.5999755859375,898.9500122070312,885.0,887.75,34620755
2026-03-02,876.2000122070312,887.75,871.5499877929688,879.4000244140625,38378924
2026-03-04,848.0,879.2999877929688,848.0,868.6500244140625,39862322
2026-03-05,873.8499755859375,881.4000244140625,863.5,877.75,31324582
2026-03-06,868.0499877929688,871.7000122070312,855.0999755859375,857.0499877929688,34439647
2026-03-09,825.0,842.4500122070312,821.5,840.7000122070312,35592613
2026-03-10,850.0499877929688,856.7999877929688,840.5999755859375,849.4500122070312,52846213
